"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Wed Jan 27 20:48:30 EST 2021","Wed Jan 27 20:48:30 EST 2021","45","","Validate if the homepage gets displayed","","Validate if the homepage gets displayed","And I enter a SKU in search textbox and click on Search","And I enter a SKU in search textbox and click on Search",""
"broken","Wed Jan 27 21:45:17 EST 2021","Wed Jan 27 21:45:23 EST 2021","5777","","Validate if the homepage gets displayed","","Validate if the homepage gets displayed","And I validate that the homepage is displayed","And I validate that the homepage is displayed",""
"passed","Wed Jan 27 16:24:51 EST 2021","Wed Jan 27 16:24:51 EST 2021","0","","Pre-requisites for the script","","Pre-requisites for the script","Then I validate that the search results page is loaded correctly","Then I validate that the search results page is loaded correctly",""
"passed","Fri Jan 29 09:35:58 EST 2021","Fri Jan 29 09:36:23 EST 2021","24779","","Pre-requisites for the script","","Pre-requisites for the script","Given the user enter the SKU and searches for the result","Given the user enter the SKU and searches for the result",""
"passed","Fri Jan 29 09:35:23 EST 2021","Fri Jan 29 09:35:32 EST 2021","8877","","Validate if the homepage gets displayed","","Validate if the homepage gets displayed","And I type in the pincode and click on enter","And I type in the pincode and click on enter",""
"passed","Fri Jan 29 09:35:19 EST 2021","Fri Jan 29 09:35:23 EST 2021","4542","","Validate if the homepage gets displayed","","Validate if the homepage gets displayed","And I allow the HD app to access the device location","And I allow the HD app to access the device location",""
"passed","Wed Jan 27 22:01:30 EST 2021","Wed Jan 27 22:01:30 EST 2021","1","","Pre-requisites for the script","","Pre-requisites for the script","Then I validate that the PIP page is loaded correctly","Then I validate that the PIP page is loaded correctly",""
"broken","Fri Jan 29 09:29:00 EST 2021","Fri Jan 29 09:29:09 EST 2021","9552","","Pre-requisites for the script","","Pre-requisites for the script","""before all"" hook for Pre-requisites for the script","""before all"" hook for Pre-requisites for the script",""
"passed","Fri Jan 29 09:35:18 EST 2021","Fri Jan 29 09:35:19 EST 2021","616","","Validate if the homepage gets displayed","","Validate if the homepage gets displayed","Given the HD app is displayed and user clicks on Prod button","Given the HD app is displayed and user clicks on Prod button",""
"passed","Tue Jan 26 17:35:26 EST 2021","Tue Jan 26 17:35:46 EST 2021","20191","","Pre-requisites for the script","","Pre-requisites for the script","Given the HD app is displayed and user clicks on Prod button","Given the HD app is displayed and user clicks on Prod button",""
"passed","Fri Jan 29 09:35:32 EST 2021","Fri Jan 29 09:35:38 EST 2021","6385","","Validate if the homepage gets displayed","","Validate if the homepage gets displayed","When I click on the store to localize","When I click on the store to localize",""
"passed","Tue Jan 26 17:35:46 EST 2021","Tue Jan 26 17:35:46 EST 2021","114","","Pre-requisites for the script","","Pre-requisites for the script","Then I validate that the homepage is displayed","Then I validate that the homepage is displayed",""
"passed","Wed Jan 27 16:24:22 EST 2021","Wed Jan 27 16:24:51 EST 2021","28992","","Pre-requisites for the script","","Pre-requisites for the script","Given the user enters a text and searches for the result","Given the user enters a text and searches for the result",""
"passed","Fri Jan 29 09:35:38 EST 2021","Fri Jan 29 09:35:39 EST 2021","110","","Validate if the homepage gets displayed","","Validate if the homepage gets displayed","Then I validate that the homepage is displayed","Then I validate that the homepage is displayed",""
"passed","Tue Jan 26 14:05:31 EST 2021","Tue Jan 26 14:05:55 EST 2021","24549","","Attempt to click the button in Android","","Attempt to click the button in Android","It should click the button successfully","It should click the button successfully",""
"broken","Tue Jan 26 16:54:20 EST 2021","Tue Jan 26 16:54:20 EST 2021","69","","Validate if the homepage gets displayed","","Validate if the homepage gets displayed","The I validate that the homepage is displayed","The I validate that the homepage is displayed",""
